density,temperature,type,x,y,source
1.0,2000,rings,4.0,0.0,GT
1.0,2000,rings,5.0,0.3611111111111111,GT
1.0,2000,rings,6.0,0.375,GT
1.0,2000,rings,7.0,0.16666666666666666,GT
1.0,2000,rings,8.0,0.013888888888888888,GT
1.0,2000,rings,9.0,0.05555555555555555,GT
1.0,2000,rings,10.0,0.027777777777777776,GT
1.0,2000,coordination,0.0,0.0,GT
1.0,2000,coordination,1.0,0.0,GT
1.0,2000,coordination,2.0,0.22,GT
1.0,2000,coordination,3.0,0.73,GT
1.0,2000,coordination,4.0,0.05,GT
1.0,2100,rings,4.0,0.011627906976744186,GT
1.0,2100,rings,5.0,0.37209302325581395,GT
1.0,2100,rings,6.0,0.3372093023255814,GT
1.0,2100,rings,7.0,0.12790697674418605,GT
1.0,2100,rings,8.0,0.06976744186046512,GT
1.0,2100,rings,9.0,0.023255813953488372,GT
1.0,2100,rings,10.0,0.05813953488372093,GT
1.0,2100,coordination,0.0,0.0,GT
1.0,2100,coordination,1.0,0.0,GT
1.0,2100,coordination,2.0,0.085,GT
1.0,2100,coordination,3.0,0.91,GT
1.0,2100,coordination,4.0,0.005,GT
1.0,2200,rings,4.0,0.011764705882352941,GT
1.0,2200,rings,5.0,0.4235294117647059,GT
1.0,2200,rings,6.0,0.3058823529411765,GT
1.0,2200,rings,7.0,0.07058823529411765,GT
1.0,2200,rings,8.0,0.07058823529411765,GT
1.0,2200,rings,9.0,0.07058823529411765,GT
1.0,2200,rings,10.0,0.047058823529411764,GT
1.0,2200,coordination,0.0,0.0,GT
1.0,2200,coordination,1.0,0.0,GT
1.0,2200,coordination,2.0,0.075,GT
1.0,2200,coordination,3.0,0.92,GT
1.0,2200,coordination,4.0,0.005,GT
1.0,2300,rings,4.0,0.0,GT
1.0,2300,rings,5.0,0.47619047619047616,GT
1.0,2300,rings,6.0,0.20238095238095238,GT
1.0,2300,rings,7.0,0.07142857142857142,GT
1.0,2300,rings,8.0,0.05952380952380952,GT
1.0,2300,rings,9.0,0.08333333333333333,GT
1.0,2300,rings,10.0,0.10714285714285714,GT
1.0,2300,coordination,0.0,0.0,GT
1.0,2300,coordination,1.0,0.0,GT
1.0,2300,coordination,2.0,0.1,GT
1.0,2300,coordination,3.0,0.89,GT
1.0,2300,coordination,4.0,0.01,GT
