density,temperature,type,x,y
1.0,2000,rdf,0.04,0.0
1.0,2000,rdf,0.12,0.0
1.0,2000,rdf,0.2,0.0
1.0,2000,rdf,0.27999999999999997,0.0
1.0,2000,rdf,0.36,0.0
1.0,2000,rdf,0.44,0.0
1.0,2000,rdf,0.52,0.0
1.0,2000,rdf,0.6000000000000001,0.0
1.0,2000,rdf,0.68,0.0
1.0,2000,rdf,0.76,0.0
1.0,2000,rdf,0.8400000000000001,0.0
1.0,2000,rdf,0.92,0.0
1.0,2000,rdf,1.0,0.0
1.0,2000,rdf,1.08,0.0
1.0,2000,rdf,1.1600000000000001,0.0
1.0,2000,rdf,1.24,0.0
1.0,2000,rdf,1.32,0.7967934082835808
1.0,2000,rdf,1.4000000000000001,11.13132653543378
1.0,2000,rdf,1.48,13.130078051511234
1.0,2000,rdf,1.56,2.689664089236716
1.0,2000,rdf,1.6400000000000001,0.29499499923765016
1.0,2000,rdf,1.72,0.0
1.0,2000,rdf,1.8,0.0
1.0,2000,rdf,1.8800000000000001,0.0
1.0,2000,rdf,1.96,0.0
1.0,2000,rdf,2.04,0.0
1.0,2000,rdf,2.12,0.0
1.0,2000,rdf,2.2,0.08197194668106594
1.0,2000,rdf,2.2800000000000002,0.6105682298542093
1.0,2000,rdf,2.36,1.7452552669374928
1.0,2000,rdf,2.44,6.430832851080678
1.0,2000,rdf,2.52,5.685416721115163
1.0,2000,rdf,2.6,2.6704773712148655
1.0,2000,rdf,2.68,1.1324277142549564
1.0,2000,rdf,2.7600000000000002,1.3021166831373472
1.0,2000,rdf,2.8400000000000003,2.9269144796748607
1.0,2000,rdf,2.92,3.0479433899841517
1.0,2000,rdf,3.0,2.027907078191414
1.0,2000,rdf,3.08,1.380214403336671
1.0,2000,rdf,3.16,1.27148453420612
1.0,2000,rdf,3.24,1.001595244058618
1.0,2000,rdf,3.3200000000000003,0.9719077548910676
1.0,2000,rdf,3.4,0.961033717760008
1.0,2000,rdf,3.48,1.376037092621496
1.0,2000,rdf,3.56,1.4870781826996424
1.0,2000,rdf,3.64,2.605298372352669
1.0,2000,rdf,3.72,2.695154712473846
1.0,2000,rdf,3.8000000000000003,2.926340368970241
1.0,2000,rdf,3.88,2.3983967094742558
1.0,2000,rdf,3.96,1.530765609396005
1.0,2000,rdf,4.04,1.1668708217132724
1.0,2000,rdf,4.12,1.4024960187457973
1.0,2000,rdf,4.2,2.1368318982751484
1.0,2000,rdf,4.28,2.3825990651132165
1.0,2000,rdf,4.36,2.3481499315088867
1.0,2000,rdf,4.44,1.4894039259204632
1.0,2000,rdf,4.5200000000000005,1.184677369549929
1.0,2000,rdf,4.6000000000000005,1.0969522432333183
1.0,2000,rdf,4.68,1.1141182761945403
1.0,2000,rdf,4.76,1.2433479557831693
1.0,2000,rdf,4.84,1.5667495764765342
1.0,2000,rdf,4.92,2.0161544622700838
1.0,2000,rdf,5.0,2.0315109154770297
1.0,2000,rdf,5.08,2.1909725097342934
1.0,2000,rdf,5.16,1.8180682907106251
1.0,2000,rdf,5.24,1.640149047214275
1.0,2000,rdf,5.32,1.2056617052583938
1.0,2000,rdf,5.4,0.9184738037753558
1.0,2000,rdf,5.48,1.0305859961290351
1.0,2000,rdf,5.5600000000000005,1.0909888549198656
1.0,2000,rdf,5.640000000000001,1.2099424358444013
1.0,2000,rdf,5.72,1.006554789242031
1.0,2000,rdf,5.8,1.1618012037164633
1.0,2000,rdf,5.88,0.8779272874054053
1.0,2000,rdf,5.96,1.0555801929810487
1.0,2000,rdf,6.04,1.250766031648676
1.0,2000,rdf,6.12,1.144124251186905
1.0,2000,rdf,6.2,1.4089698855729926
1.0,2000,rdf,6.28,1.2374806449601694
1.0,2000,rdf,6.36,1.549871147568986
1.0,2000,rdf,6.44,1.602492316534088
1.0,2000,rdf,6.5200000000000005,1.6054111350090958
1.0,2000,rdf,6.6000000000000005,1.420986244919769
1.0,2000,rdf,6.680000000000001,1.0714882065224582
1.0,2000,rdf,6.76,1.0506192983212728
1.0,2000,rdf,6.84,0.8226461019048765
1.0,2000,rdf,6.92,0.8161644398540958
1.0,2000,rdf,7.0,0.971714991611326
1.0,2000,rdf,7.08,0.8984278157507288
1.0,2000,rdf,7.16,1.0216492782885735
1.0,2000,rdf,7.24,1.0559688823897184
1.0,2000,rdf,7.32,1.195926545511931
1.0,2000,rdf,7.4,1.177454571297772
1.0,2000,rdf,7.48,1.1878618647096173
1.0,2000,rdf,7.5600000000000005,1.0795461521222498
1.0,2000,rdf,7.640000000000001,0.985679628588285
1.0,2000,rdf,7.72,0.9686858822104635
1.0,2000,rdf,7.8,1.043483134860769
1.0,2000,rdf,7.88,0.9776732433421085
1.0,2000,rdf,7.96,0.8954981860464425
1.0,2000,adf,0.9,0.0
1.0,2000,adf,2.6999999999999997,0.0
1.0,2000,adf,4.5,0.0
1.0,2000,adf,6.3,0.0
1.0,2000,adf,8.1,0.0
1.0,2000,adf,9.9,0.0
1.0,2000,adf,11.7,0.0
1.0,2000,adf,13.499999999999998,0.0
